name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
SMITH,73.35,22.22,0.4,0.85,1.63,1.56
JOHNSON,61.55,33.8,0.42,0.91,1.82,1.5
WILLIAMS,48.52,46.72,0.37,0.78,2.01,1.6
BROWN,60.71,34.54,0.41,0.83,1.86,1.64
JONES,57.69,37.73,0.35,0.94,1.85,1.44
MILLER,85.81,10.41,0.42,0.63,1.31,1.43
DAVIS,64.73,30.77,0.4,0.79,1.73,1.58
GARCIA,6.17,0.49,1.43,0.58,0.51,90.81
RODRIGUEZ,5.52,0.54,0.58,0.24,0.41,92.7
WILSON,69.72,25.32,0.46,1.03,1.74,1.73
MARTINEZ,6.04,0.52,0.6,0.64,0.46,91.72
ANDERSON,77.6,18.06,0.48,0.7,1.59,1.58
TAYLOR,67.8,27.67,0.39,0.75,1.78,1.61
THOMAS,55.53,38.17,1.63,1.01,2,1.66
HERNANDEZ,4.55,0.38,0.65,0.27,0.35,93.81
MOORE,68.85,26.92,0.37,0.65,1.7,1.5
MARTIN,77.47,15.3,0.71,0.94,1.59,3.99
JACKSON,41.93,53.02,0.31,1.04,2.18,1.53
THOMPSON,72.48,22.53,0.44,1.15,1.78,1.62
WHITE,67.91,27.38,0.39,1.01,1.76,1.55
LOPEZ,5.85,0.61,1.04,0.47,0.52,91.51
LEE,40.09,17.41,37.83,1.03,2.3,1.34
GONZALEZ,4.76,0.37,0.38,0.18,0.33,93.99
HARRIS,53.88,41.63,0.36,0.65,2.02,1.45
CLARK,76.84,18.53,0.41,0.94,1.6,1.68
LEWIS,60.97,33.83,0.45,1.14,1.97,1.64
ROBINSON,51.34,44.1,0.37,0.51,1.99,1.68
WALKER,61.25,34.17,0.35,0.83,1.8,1.6
PEREZ,5.95,0.48,1.18,0.26,0.48,91.65